applicant_ref,income,loan_amount,tenure_months,employment_type,credit_history_months,existing_emi,dti_ratio,credit_utilization,num_delinquencies_24m,age_band,defaulted
app_000000,13304.07,11763.59,48,salaried,115,156.74,0.3801,0.1663,1,46-55,0
app_000001,29229.14,10895.17,120,salaried,127,0.0,0.0403,0.1874,0,36-45,0
app_000002,13882.43,13528.2,60,contract,165,253.73,0.4298,0.7793,1,56-65,1
app_000003,111618.97,17173.92,48,contract,83,1154.67,0.1657,0.5836,1,46-55,0
app_000004,40817.66,22994.81,24,salaried,49,313.39,0.3963,0.646,1,18-25,0
app_000005,38917.76,21941.72,48,unemployed,248,250.59,0.2295,0.2138,0,65+,0
app_000006,41259.65,7576.88,24,salaried,161,0.0,0.0992,0.3824,0,46-55,0
app_000007,50639.46,9705.39,48,salaried,126,831.11,0.2487,0.5532,1,46-55,0
app_000008,62192.22,11476.51,24,contract,71,1046.69,0.3016,0.1693,1,26-35,0
app_000009,15368.04,13227.69,12,salaried,116,32.57,0.955,0.7777,1,36-45,0
app_000010,74652.38,9703.82,84,salaried,77,1238.32,0.2191,0.6397,0,26-35,0
app_000011,72056.36,10405.23,60,contract,204,93.88,0.0468,0.0544,1,56-65,0
app_000012,35014.21,35534.78,84,salaried,160,0.0,0.1566,0.5742,1,46-55,0
app_000013,34019.84,19631.87,36,salaried,150,792.59,0.4873,0.5669,1,56-65,0
app_000014,8000.0,8406.75,48,salaried,96,0.0,0.2837,0.6584,1,36-45,0
app_000015,18321.03,20741.42,36,self_employed,44,0.0,0.4076,0.7989,1,26-35,0
app_000016,48308.71,12743.92,36,unemployed,100,262.12,0.1601,0.6679,0,36-45,0
app_000017,70286.82,49430.35,48,unemployed,0,1174.74,0.3904,0.297,0,18-25,0
app_000018,54222.99,11177.53,120,self_employed,225,479.49,0.1284,0.5243,0,56-65,0
app_000019,34834.26,12128.71,36,self_employed,72,731.89,0.3775,0.8079,0,36-45,0
app_000020,104739.33,13660.69,36,salaried,116,2359.83,0.3173,0.5195,2,46-55,0
app_000021,63123.38,8409.29,12,salaried,62,743.93,0.2853,0.1161,1,26-35,0
app_000022,29243.0,21546.79,12,salaried,162,239.46,0.894,0.4813,0,65+,1
app_000023,120591.11,16779.24,48,salaried,157,2380.21,0.2744,0.2295,0,56-65,0
app_000024,19872.82,20007.35,48,salaried,137,428.07,0.5303,0.2224,1,46-55,0
app_000025,16163.13,16597.63,60,unemployed,109,33.85,0.2469,0.6422,0,26-35,0
app_000026,28807.53,18222.37,36,salaried,100,590.97,0.4739,0.2499,0,36-45,0
app_000027,23926.64,43188.95,60,unemployed,11,200.04,0.4902,0.7501,0,18-25,1
app_000028,29711.45,22693.48,12,salaried,26,342.13,0.9631,0.5144,0,26-35,0
app_000029,56328.16,5556.45,12,salaried,196,1150.58,0.3517,0.8314,0,46-55,0
app_000030,35643.11,19679.5,60,unemployed,134,205.67,0.1885,0.2593,0,46-55,0
app_000031,36150.16,32853.79,24,self_employed,206,780.6,0.7499,0.6914,1,65+,0
app_000032,37509.45,5000.0,60,salaried,18,81.28,0.0548,0.3603,0,26-35,0
app_000033,10180.41,8120.32,60,salaried,75,130.29,0.3259,0.3285,0,26-35,0
app_000034,15781.71,23401.7,120,contract,78,0.96,0.1609,0.5109,1,36-45,0
app_000035,29380.27,29218.16,24,salaried,104,262.85,0.6444,0.2944,2,26-35,0
app_000036,22842.75,18100.65,60,contract,73,480.66,0.4237,0.2299,1,26-35,0
app_000037,31968.84,21210.21,36,salaried,99,0.0,0.2388,0.2915,0,36-45,0
app_000038,78611.29,37129.86,24,salaried,20,0.0,0.2551,0.2518,1,26-35,0
app_000039,34858.52,11987.7,48,contract,129,721.3,0.3412,0.3929,1,46-55,0
app_000040,17549.97,9272.81,24,salaried,89,141.27,0.3819,0.1459,1,36-45,0
app_000041,23477.44,14029.09,60,salaried,171,237.03,0.2502,0.8909,1,56-65,0
app_000042,93042.97,18125.22,60,self_employed,72,1735.24,0.2659,0.5754,1,46-55,0
app_000043,84361.94,19709.56,84,salaried,32,1527.04,0.2533,0.4255,2,26-35,0
app_000044,50399.3,25934.9,24,salaried,153,87.67,0.2988,0.3123,1,56-65,0
app_000045,15377.09,44326.11,24,salaried,147,180.92,1.6978,0.6674,2,46-55,1
app_000046,42990.86,18230.33,48,salaried,2,562.67,0.2716,0.9122,0,26-35,0
app_000047,44847.96,7698.03,60,salaried,101,496.74,0.17,0.5966,0,26-35,0
app_000048,36829.23,10270.49,60,contract,169,239.11,0.1381,0.6203,2,46-55,0
app_000049,26542.27,17721.38,24,contract,30,409.19,0.5455,0.0229,1,26-35,0
app_000050,29749.06,39042.09,60,salaried,134,225.81,0.3746,0.2683,1,26-35,0
app_000051,25543.98,24161.28,48,contract,31,345.36,0.4176,0.6322,0,18-25,0
app_000052,19345.39,9566.92,36,salaried,128,233.17,0.3227,0.1556,0,46-55,0
app_000053,76979.41,11041.97,36,self_employed,149,1225.06,0.2426,0.3628,0,46-55,0
